CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
ASSAULT,01/21/2018 11:45:00 AM,18-003700,ASSAULT WITH FIREARM ON PERSON,26Y,1100 SEMINARY AV,Oakland,CA,"1100 SEMINARY AV
Oakland, CA
(37.761532, -122.204613)"
MOTOR VEHICLE THEFT,12/26/2017 07:00:00 PM,17-067215,VEHICLE THEFT - AUTO,34X,1700 AUSEON AV,Oakland,CA,"1700 AUSEON AV
Oakland, CA
(37.753884, -122.172807)"
THEFT/LARCENY,01/20/2018 09:00:00 AM,18-901863,BURGLARY-AUTO,11X,700 56TH ST,Oakland,CA,"700 56TH ST
Oakland, CA
(37.840907, -122.267369)"
THEFT/LARCENY,12/15/2017 01:00:00 PM,18-900233,BURGLARY-AUTO,31X,400 HEGENBERGER ROAD,Oakland,CA,"400 HEGENBERGER ROAD
Oakland, CA
(37.735772, -122.197083)"
THEFT/LARCENY,01/19/2018 06:00:00 PM,18-901815,BURGLARY-AUTO,03X,400 8TH ST,Oakland,CA,"400 8TH ST
Oakland, CA
(37.799726, -122.272547)"
ROBBERY,11/24/2017 08:10:00 PM,17-061392,ROBBERY-FIREARM,04X,200 LAKESIDE DR,Oakland,CA,"200 LAKESIDE DR
Oakland, CA
(37.806134, -122.2628)"
THEFT/LARCENY,12/13/2017 08:00:00 PM,17-919682,BURGLARY-AUTO,19X,1900 EMBARCADERO,Oakland,CA,"1900 EMBARCADERO
Oakland, CA
(37.783374, -122.243103)"
THEFT/LARCENY,12/21/2017 09:47:00 AM,17-066492,THEFT,08X,500 24TH ST,Oakland,CA,"500 24TH ST
Oakland, CA
(37.813849, -122.268181)"
ASSAULT,11/25/2017 08:08:00 AM,17-061481,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,05X,1800 MYRTLE ST,Oakland,CA,"1800 MYRTLE ST
Oakland, CA
(37.811538, -122.280854)"
MOTOR VEHICLE THEFT,12/06/2017 09:00:00 PM,17-063718,VEHICLE THEFT - AUTO,28X,2900 RAWSON ST,Oakland,CA,"2900 RAWSON ST
Oakland, CA
(37.779146, -122.19444)"
THEFT/LARCENY,02/03/2018 12:00:00 AM,18-006273,THEFT,09X,100 MOSS AV,Oakland,CA,"100 MOSS AV
Oakland, CA
(37.820426, -122.253011)"
THEFT/LARCENY,11/29/2017 07:00:00 PM,17-918801,BURGLARY-AUTO,08X,400 25TH ST,Oakland,CA,"400 25TH ST
Oakland, CA
(37.814127, -122.265126)"
THEFT/LARCENY,12/17/2017 11:15:00 AM,18-900200,BURGLARY-AUTO,22X,3400BLK FRUITVALE AVE,Oakland,CA,"3400BLK FRUITVALE AVE
Oakland, CA
(37.799305, -122.216552)"
VANDALISM,12/15/2017 07:30:00 PM,18-900203,VANDALISM,03X,1100 WEBSTER ST,Oakland,CA,"1100 WEBSTER ST
Oakland, CA
(37.801311, -122.270082)"
BURGLARY,11/24/2017 03:00:00 PM,17-061510,BURGLARY-FORCIBLE ENTRY,02X,1200 7TH ST,Oakland,CA,"1200 7TH ST
Oakland, CA
(37.804371, -122.290354)"
THEFT/LARCENY,11/29/2017 07:03:00 PM,17-918807,GRAND THEFT,24Y,2600 38TH AVE,Oakland,CA,"2600 38TH AVE
Oakland, CA
(37.785389, -122.207445)"
DISTURBING THE PEACE,01/19/2018 07:40:00 PM,18-003429,DISTURB THE PEACE,03Y,400 7TH ST,Oakland,CA,"400 7TH ST
Oakland, CA
(37.799026, -122.272977)"
THEFT/LARCENY,01/08/2018 11:30:00 AM,18-901694,BURGLARY-AUTO,10X,6400 HERZOG ST,Oakland,CA,"6400 HERZOG ST
Oakland, CA
(37.847502, -122.283192)"
VANDALISM,01/14/2018 07:10:00 PM,18-901543,VANDALISM,08X,2700 BROADWAY,Oakland,CA,"2700 BROADWAY
Oakland, CA
(37.815525, -122.264102)"
THEFT/LARCENY,11/29/2017 06:00:00 PM,17-918846,BURGLARY-AUTO,04X,500 21ST ST,Oakland,CA,"500 21ST ST
Oakland, CA
(37.810397, -122.269904)"
BURGLARY,12/06/2017 09:17:00 PM,17-063649,BURGLARY-FORCIBLE ENTRY,09X,4300 PIEDMONT AV,Oakland,CA,"4300 PIEDMONT AV
Oakland, CA
(37.828947, -122.249056)"
DISTURBING THE PEACE,01/19/2018 12:00:00 PM,18-003560,DISTURB THE PEACE,02Y,1600 8TH ST,Oakland,CA,"1600 8TH ST
Oakland, CA
(37.807016, -122.297404)"
ASSAULT,12/21/2017 05:30:00 PM,17-066384,THREAT CRIME:INT:TERRORIZE,15X,600 WESLEY AV,Oakland,CA,"600 WESLEY AV
Oakland, CA
(37.806634, -122.24666)"
THEFT/LARCENY,12/12/2017 05:00:00 PM,18-900144,BURGLARY-AUTO,,WEBSTER ST /EMBARCADERO2,Oakland,CA,"WEBSTER ST /EMBARCADERO2
Oakland, CA
"
THEFT/LARCENY,01/20/2018 09:00:00 AM,18-901900,THEFT,15X,200 ATHOL AV,Oakland,CA,"200 ATHOL AV
Oakland, CA
(37.800885, -122.251962)"
THEFT/LARCENY,12/13/2017 07:45:00 AM,18-900180,GRAND THEFT,03X,400 7TH ST,Oakland,CA,"400 7TH ST
Oakland, CA
(37.799026, -122.272977)"
ROBBERY,02/04/2018 05:30:00 PM,18-006313,ROBBERY-OTHER DANGEROUS WEAPON,08X,2900 BROADWAY,Oakland,CA,"2900 BROADWAY
Oakland, CA
(37.817422, -122.26293)"
BURGLARY,01/17/2018 11:45:00 AM,18-003374,BURGLARY-FORCIBLE ENTRY,25X,4000 MACARTHUR BLVD,Oakland,CA,"4000 MACARTHUR BLVD
Oakland, CA
(37.79043, -122.197613)"
THEFT/LARCENY,11/28/2017 08:00:00 PM,17-918787,BURGLARY-AUTO,13Z,6600 SARONI DRIVE,Oakland,CA,"6600 SARONI DRIVE
Oakland, CA
(37.832295, -122.203023)"
THEFT/LARCENY,11/29/2017 10:40:00 PM,17-918808,BURGLARY-AUTO,14Y,500 LAKE PARK AVE,Oakland,CA,"500 LAKE PARK AVE
Oakland, CA
(37.810718, -122.247325)"
THEFT/LARCENY,12/12/2017 05:00:00 PM,17-919676,BURGLARY-AUTO,08X,2400 WEBSTER ST,Oakland,CA,"2400 WEBSTER ST
Oakland, CA
(37.813468, -122.26486)"
MOTOR VEHICLE THEFT,12/20/2017 10:00:00 PM,17-066302,VEHICLE THEFT - AUTO,11X,700 59TH ST,Oakland,CA,"700 59TH ST
Oakland, CA
(37.844574, -122.268147)"
VANDALISM,11/30/2017 01:30:00 AM,17-918838,VANDALISM,,1800 SAN PABLO LOT AVE,Oakland,CA,"1800 SAN PABLO LOT AVE
Oakland, CA
(37.808106, -122.272441)"
VANDALISM,12/17/2017 09:46:00 AM,18-900142,VANDALISM,09X,5100 BROADWAY,Oakland,CA,"5100 BROADWAY
Oakland, CA
(37.835394, -122.251678)"
DRUGS/ALCOHOL VIOLATIONS,12/20/2017 06:25:00 PM,17-066140,POSS CONTROLLED SUBSTANCE WHILE ARMED W/LOADED FIREARM,24X,1900 HARRINGTON AV,Oakland,CA,"1900 HARRINGTON AV
Oakland, CA
(37.77986, -122.217646)"
VANDALISM,11/29/2017 08:00:00 PM,17-918826,VANDALISM,,SAN PABLO AVE / 17TH ST94612,Oakland,CA,"SAN PABLO AVE / 17TH ST94612
Oakland, CA
"
THEFT/LARCENY,01/21/2018 05:15:00 AM,18-901887,THEFT,25X,4000 MACARTHUR BLVD,Oakland,CA,"4000 MACARTHUR BLVD
Oakland, CA
(37.79043, -122.197613)"
THEFT/LARCENY,12/20/2017 09:30:00 PM,17-919693,BURGLARY-AUTO,03X,300 11TH ST,Oakland,CA,"300 11TH ST
Oakland, CA
(37.800855, -122.268903)"
VANDALISM,01/15/2018 03:05:00 AM,18-901509,VANDALISM,13Y,1500 MOUNTAIN BLVD,Oakland,CA,"1500 MOUNTAIN BLVD
Oakland, CA
(37.835072, -122.216533)"
THEFT/LARCENY,01/11/2018 11:00:00 PM,18-901444,BURGLARY-AUTO,19X,1200 EMBARCADERO COVE,Oakland,CA,"1200 EMBARCADERO COVE
Oakland, CA
"
DISTURBING THE PEACE,11/25/2017 02:09:00 PM,17-919647,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,08X,400 FAIRMOUNT AVE,Oakland,CA,"400 FAIRMOUNT AVE
Oakland, CA
(37.819087, -122.256409)"
ROBBERY,02/01/2018 01:40:00 AM,18-005668,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",02Y,1700 10TH ST,Oakland,CA,"1700 10TH ST
Oakland, CA
(37.80977, -122.298983)"
FRAUD,11/15/2017 01:45:00 PM,17-918823,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,26Y,1100 66TH AVE,Oakland,CA,"1100 66TH AVE
Oakland, CA
(37.759478, -122.197371)"
VANDALISM,01/16/2018 10:00:00 AM,18-901663,VANDALISM,14X,300 EUCLID AV,Oakland,CA,"300 EUCLID AV
Oakland, CA
(37.814037, -122.252878)"
DISTURBING THE PEACE,01/23/2018 07:15:00 PM,18-004133,DISTURB THE PEACE,17Y,2200 9TH AV,Oakland,CA,"2200 9TH AV
Oakland, CA
(37.798102, -122.243157)"
VANDALISM,12/14/2017 08:30:00 PM,18-900177,VANDALISM,,WALKER AVE,Oakland,CA,"WALKER AVE
Oakland, CA
"
VANDALISM,01/12/2018 11:00:00 PM,18-901379,VANDALISM,14X,600 BELLEVUE AV,Oakland,CA,"600 BELLEVUE AV
Oakland, CA
(37.807478, -122.255985)"
ASSAULT,11/24/2017 04:34:00 AM,17-061301,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,27Y,2500 62ND AV,Oakland,CA,"2500 62ND AV
Oakland, CA
(37.769117, -122.189479)"
THEFT/LARCENY,01/23/2018 01:00:00 AM,18-004132,BURGLARY-AUTO,01X,100 WEBSTER ST,Oakland,CA,"100 WEBSTER ST
Oakland, CA
(37.794749, -122.274172)"
BURGLARY,01/16/2018 12:00:00 PM,18-901556,BURGLARY-FORCIBLE ENTRY,22X,3500 FRUITVALE AV,Oakland,CA,"3500 FRUITVALE AV
Oakland, CA
(37.800418, -122.216111)"
MOTOR VEHICLE THEFT,01/24/2018 06:00:00 PM,18-005519,VEHICLE THEFT - AUTO,08X,300 38TH ST,Oakland,CA,"300 38TH ST
Oakland, CA
(37.826214, -122.257579)"
VANDALISM,12/08/2017 09:20:00 PM,18-900157,VANDALISM,,W EMBARCADERO,Oakland,CA,"W EMBARCADERO
Oakland, CA
"
BURGLARY,01/08/2018 09:00:00 PM,18-001578,BURGLARY-FORCIBLE ENTRY,05X,1500 ADELINE ST,Oakland,CA,"1500 ADELINE ST
Oakland, CA
(37.810432, -122.285816)"
VANDALISM,01/13/2018 02:17:00 AM,18-002168,VANDALISM:DAMAGE PROPERTY,08X,2700 BROADWAY,Oakland,CA,"2700 BROADWAY
Oakland, CA
(37.815525, -122.264102)"
VANDALISM,01/11/2018 03:11:00 PM,18-901432,VANDALISM,77X,52ND ST,Oakland,CA,"52ND ST
Oakland, CA
"
BURGLARY,11/16/2017 11:50:00 PM,17-060111,BURGLARY-FORCIBLE ENTRY,04X,400 22ND ST,Oakland,CA,"400 22ND ST
Oakland, CA
(37.81094, -122.267393)"
ASSAULT,01/05/2018 04:58:00 AM,18-000787,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,20X,3000 E 17TH ST,Oakland,CA,"3000 E 17TH ST
Oakland, CA
(37.781441, -122.225047)"
ASSAULT,11/25/2017 11:12:00 AM,17-061505,THREAT CRIME:INT:TERRORIZE,30Y,7200 BANCROFT AV,Oakland,CA,"7200 BANCROFT AV
Oakland, CA
(37.766093, -122.177258)"
BURGLARY,01/20/2018 10:15:00 AM,18-004798,BURGLARY-NO FORCE,15X,100 ATHOL AV,Oakland,CA,"100 ATHOL AV
Oakland, CA
(37.800953, -122.253108)"
ROBBERY,01/13/2018 03:36:00 AM,18-002177,ROBBERY-FIREARM,34X,1900 83RD AV,Oakland,CA,"1900 83RD AV
Oakland, CA
(37.757884, -122.172676)"
MOTOR VEHICLE THEFT,01/18/2018 10:00:00 PM,18-003343,VEHICLE THEFT - AUTO,18Y,3200 ARDLEY AV,Oakland,CA,"3200 ARDLEY AV
Oakland, CA
(37.798773, -122.224679)"
ROBBERY,01/21/2018 12:20:00 AM,18-003650,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",26X,500 HIGH ST,Oakland,CA,"500 HIGH ST
Oakland, CA
(37.767282, -122.221556)"
ASSAULT,11/24/2017 11:35:00 PM,17-061428,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,26X,5400 INTERNATIONAL BLVD,Oakland,CA,"5400 INTERNATIONAL BLVD
Oakland, CA
(37.767914, -122.20551)"
THEFT/LARCENY,11/28/2017 12:00:00 PM,17-918790,BURGLARY-AUTO,01X,200 HARRISON ST,Oakland,CA,"200 HARRISON ST
Oakland, CA
(37.794895, -122.272651)"
FRAUD,01/16/2018 11:38:00 AM,18-901795,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,29X,3900 DELMONT AV,Oakland,CA,"3900 DELMONT AV
Oakland, CA
(37.776426, -122.170806)"
ASSAULT,01/02/2018 04:00:00 PM,18-000295,ASSAULT AND BATTERY,03X,400 13TH ST,Oakland,CA,"400 13TH ST
Oakland, CA
(37.803154, -122.270392)"
MOTOR VEHICLE THEFT,12/06/2017 06:29:00 PM,17-063599,VEHICLE THEFT - AUTO,35X,8900 BANCROFT AV,Oakland,CA,"8900 BANCROFT AV
Oakland, CA
(37.754128, -122.165956)"
THEFT/LARCENY,12/06/2017 12:00:00 PM,17-063634,THEFT,10Y,5600 MARKET ST,Oakland,CA,"5600 MARKET ST
Oakland, CA
(37.840144, -122.274089)"
ASSAULT,12/06/2017 04:37:00 PM,17-063587,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,06X,900 36TH ST,Oakland,CA,"900 36TH ST
Oakland, CA
(37.826299, -122.275176)"
THEFT/LARCENY,11/29/2017 10:00:00 PM,17-918821,BURGLARY-AUTO,08X,2600 TELEGRAPH AVE,Oakland,CA,"2600 TELEGRAPH AVE
Oakland, CA
(37.815778, -122.268012)"
THEFT/LARCENY,01/13/2018 03:24:00 AM,18-901512,GRAND THEFT,12X,4300 TELEGRAPH AV,Oakland,CA,"4300 TELEGRAPH AV
Oakland, CA
(37.831836, -122.263722)"
THEFT/LARCENY,01/22/2018 08:00:00 AM,18-901868,BURGLARY-AUTO,20X,INTERNATIONAL BLVD,Oakland,CA,"INTERNATIONAL BLVD
Oakland, CA
"
THEFT/LARCENY,11/28/2017 10:30:00 PM,17-918832,BURGLARY-AUTO,17X,1800 10TH AVE,Oakland,CA,"1800 10TH AVE
Oakland, CA
(37.794709, -122.245993)"
SEX CRIMES,12/05/2017 04:09:00 PM,17-063391,DISORDERLY CONDUCT:PROSTITUTION,07X,3600 MANDELA PKWY,Oakland,CA,"3600 MANDELA PKWY
Oakland, CA
(37.827326, -122.289221)"
THEFT/LARCENY,01/14/2018 03:30:00 AM,18-901692,GRAND THEFT,20X,400 DERBY AV,Oakland,CA,"400 DERBY AV
Oakland, CA
(37.771695, -122.231909)"
THEFT/LARCENY,01/20/2018 06:00:00 PM,18-901843,BURGLARY-AUTO,99X,CHABOT ROAD,Oakland,CA,"CHABOT ROAD
Oakland, CA
"
MOTOR VEHICLE THEFT,01/25/2018 03:59:00 PM,18-004506,VEHICLE THEFT - AUTO,33X,1000 ELMHURST AV,Oakland,CA,"1000 ELMHURST AV
Oakland, CA
(37.74293, -122.178397)"
ASSAULT,11/24/2017 11:30:00 PM,17-061443,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,26Y,800 69TH AV,Oakland,CA,"800 69TH AV
Oakland, CA
(37.755448, -122.198431)"
DISTURBING THE PEACE,01/02/2018 10:00:00 PM,18-000373,DISTURB THE PEACE,10Y,900 41ST ST,Oakland,CA,"900 41ST ST
Oakland, CA
(37.831558, -122.273729)"
ROBBERY,01/03/2018 01:18:00 PM,08-070777,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",08X,3700 TELEGRAPH AV,Oakland,CA,"3700 TELEGRAPH AV
Oakland, CA
(37.825546, -122.265418)"
DRUGS/ALCOHOL VIOLATIONS,01/24/2018 11:21:00 PM,18-004351,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,27Y,2000 64TH AV,Oakland,CA,"2000 64TH AV
Oakland, CA
(37.76533, -122.192306)"
THEFT/LARCENY,01/24/2018 05:00:00 PM,18-004334,BURGLARY-AUTO,14X,100 BAY PL,Oakland,CA,"100 BAY PL
Oakland, CA
(37.811817, -122.260582)"
MOTOR VEHICLE THEFT,01/02/2018 08:00:00 PM,18-000368,VEHICLE THEFT - AUTO,06X,3800 WEST ST,Oakland,CA,"3800 WEST ST
Oakland, CA
(37.827633, -122.271646)"
MOTOR VEHICLE THEFT,12/14/2017 05:40:00 PM,17-064979,VEHICLE THEFT - AUTO,31Y,9700 EDES AV,Oakland,CA,"9700 EDES AV
Oakland, CA
(37.736764, -122.184488)"
THEFT/LARCENY,11/26/2017 08:05:00 AM,17-918816,GRAND THEFT,,00 HAYES ST,Oakland,CA,"00 HAYES ST
Oakland, CA
"
ASSAULT,11/28/2017 08:00:00 AM,17-063725,BATTERY,13Z,6000 THORNHILL DR,Oakland,CA,"6000 THORNHILL DR
Oakland, CA
(37.838319, -122.210804)"
THEFT/LARCENY,12/15/2017 04:10:00 PM,18-900172,BURGLARY-AUTO,03X,100 11TH ST,Oakland,CA,"100 11TH ST
Oakland, CA
(37.79904, -122.264142)"
THEFT/LARCENY,11/23/2017 12:15:00 PM,17-061197,THEFT,05X,900 21ST ST,Oakland,CA,"900 21ST ST
Oakland, CA
(37.813105, -122.279034)"
THEFT/LARCENY,11/30/2017 05:04:00 PM,17-918863,BURGLARY-AUTO,02Y,1200 CENTER ST,Oakland,CA,"1200 CENTER ST
Oakland, CA
(37.809645, -122.293409)"
THEFT/LARCENY,12/15/2017 06:35:00 PM,18-900226,BURGLARY-AUTO,,GRAND AVE,Oakland,CA,"GRAND AVE
Oakland, CA
"
THEFT/LARCENY,01/17/2018 07:00:00 PM,18-901621,BURGLARY-AUTO,06X,600 W MACARTHUR BLVD,Oakland,CA,"600 W MACARTHUR BLVD
Oakland, CA
(37.827115, -122.268261)"
MOTOR VEHICLE THEFT,12/21/2017 04:37:00 PM,17-066378,VEHICLE THEFT - AUTO,05Y,1400 CAMPBELL ST,Oakland,CA,"1400 CAMPBELL ST
Oakland, CA
(37.812092, -122.295151)"
VANDALISM,01/08/2018 08:30:00 AM,18-901544,VANDALISM,02X,400 ADELINE ST,Oakland,CA,"400 ADELINE ST
Oakland, CA
(37.801558, -122.289)"
THEFT/LARCENY,12/19/2017 10:30:00 AM,17-066108,BURGLARY-AUTO,03X,00 8TH ST,Oakland,CA,"00 8TH ST
Oakland, CA
"
THEFT/LARCENY,12/09/2017 07:50:00 PM,18-900219,THEFT,,3700 MENDELA PARKWAY,Oakland,CA,"3700 MENDELA PARKWAY
Oakland, CA
(37.828243, -122.287224)"
ROBBERY,02/03/2018 09:36:00 PM,18-006187,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",27Y,1800 57TH AV,Oakland,CA,"1800 57TH AV
Oakland, CA
(37.768404, -122.198352)"
VANDALISM,11/29/2017 09:40:00 PM,17-918803,VANDALISM,,400 27TH AVE,Oakland,CA,"400 27TH AVE
Oakland, CA
"
BURGLARY,12/21/2017 05:32:00 PM,17-066387,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,26X,400 HIGH ST,Oakland,CA,"400 HIGH ST
Oakland, CA
(37.765978, -122.223274)"
THEFT/LARCENY,12/12/2017 06:30:00 PM,17-919678,BURGLARY-AUTO,,MEDAU PLACE,Oakland,CA,"MEDAU PLACE
Oakland, CA
"
ASSAULT,12/20/2017 06:40:00 PM,17-066157,BATTERY,20X,3000 E 16TH ST,Oakland,CA,"3000 E 16TH ST
Oakland, CA
(37.780082, -122.225596)"
THEFT/LARCENY,01/11/2018 10:00:00 PM,18-901803,BURGLARY-AUTO,35Y,DORISA AV,Oakland,CA,"DORISA AV
Oakland, CA
"
THEFT/LARCENY,12/21/2017 12:00:00 AM,17-066498,THEFT,30Y,2600 73RD AV,Oakland,CA,"2600 73RD AV
Oakland, CA
(37.76693, -122.175377)"
THEFT/LARCENY,01/17/2018 11:00:00 PM,18-901761,BURGLARY-AUTO,14X,300 MACARTHUR BLVD,Oakland,CA,"300 MACARTHUR BLVD
Oakland, CA
(37.817514, -122.25297)"
VANDALISM,12/14/2017 05:30:00 PM,18-900164,VANDALISM,,OPAL ST,Oakland,CA,"OPAL ST
Oakland, CA
"
ASSAULT,01/02/2018 03:00:00 PM,18-000270,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,08X,3600 WEBSTER ST,Oakland,CA,"3600 WEBSTER ST
Oakland, CA
(37.823687, -122.262027)"
VANDALISM,01/21/2018 06:00:00 PM,18-003841,VANDALISM-$400,02Y,900 WILLOW ST,Oakland,CA,"900 WILLOW ST
Oakland, CA
(37.808932, -122.299477)"
DRUGS/ALCOHOL VIOLATIONS,01/02/2018 04:11:00 PM,18-000288,"SIMPLE POSSESSION OF METHAMPHETAMINE, ECSTASY, GHB, LISTED SUBSTANCES",21X,2500 E 21ST ST,Oakland,CA,"2500 E 21ST ST
Oakland, CA
(37.78661, -122.228204)"
THEFT/LARCENY,01/12/2018 11:42:00 PM,18-901413,BURGLARY-AUTO,01X,200 BROADWAY,Oakland,CA,"200 BROADWAY
Oakland, CA
(37.796468, -122.276034)"
FRAUD,01/13/2018 02:00:00 PM,18-901670,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,04X,600 16TH ST,Oakland,CA,"600 16TH ST
Oakland, CA
(37.807394, -122.274721)"
VANDALISM,11/30/2017 08:40:00 PM,17-918853,VANDALISM,,PIEDMONT AVE,Oakland,CA,"PIEDMONT AVE
Oakland, CA
"
THEFT/LARCENY,11/27/2017 07:00:00 PM,17-918813,BURGLARY-AUTO,17X,600 E 17TH ST,Oakland,CA,"600 E 17TH ST
Oakland, CA
(37.79673, -122.249959)"
THEFT/LARCENY,12/14/2017 11:30:00 PM,18-900218,THEFT,,MACARTHUR BOULEVARD,Oakland,CA,"MACARTHUR BOULEVARD
Oakland, CA
"
ASSAULT,12/19/2017 12:52:00 PM,17-065907,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,07X,2900 MYRTLE ST,Oakland,CA,"2900 MYRTLE ST
Oakland, CA
(37.820445, -122.277644)"
DRUGS/ALCOHOL VIOLATIONS,12/06/2017 10:00:00 PM,17-063625,SELL/FURNISH/ETC MARIJUANA/HASHISH,29X,6500 SIMSON ST,Oakland,CA,"6500 SIMSON ST
Oakland, CA
(37.776711, -122.173885)"
THEFT/LARCENY,01/24/2018 09:30:00 AM,18-004311,BURGLARY-AUTO,20X,2900 E. 9TH ST (20X),Oakland,CA,"2900 E. 9TH ST (20X)
Oakland, CA
(37.775239, -122.232766)"
MOTOR VEHICLE THEFT,01/23/2018 06:30:00 PM,18-004297,VEHICLE THEFT - AUTO,13Z,5900 CHELTON DR,Oakland,CA,"5900 CHELTON DR
Oakland, CA
(37.823577, -122.198059)"
THEFT/LARCENY,11/30/2017 01:04:00 PM,17-918830,THEFT,,4000 PEIDMONT AVE,Oakland,CA,"4000 PEIDMONT AVE
Oakland, CA
(37.825445, -122.253685)"
MOTOR VEHICLE THEFT,11/18/2017 01:00:00 AM,17-060317,VEHICLE THEFT - AUTO,21X,2500 24TH AV,Oakland,CA,"2500 24TH AV
Oakland, CA
(37.790427, -122.226473)"
THEFT/LARCENY,12/31/2017 12:00:00 PM,18-000293,BURGLARY-AUTO,02Y,800 CAMPBELL VILLAGE CT,Oakland,CA,"800 CAMPBELL VILLAGE CT
Oakland, CA
(37.807536, -122.299751)"
THEFT/LARCENY,01/15/2018 04:30:00 PM,18-901571,BURGLARY-AUTO,14Y,600 JEAN ST,Oakland,CA,"600 JEAN ST
Oakland, CA
(37.817831, -122.247756)"
ARSON,01/21/2018 10:30:00 PM,18-003806,ARSON:INHABITED STRUCTURE/PROPERTY,20X,1000 CALCOT PL,Oakland,CA,"1000 CALCOT PL
Oakland, CA
(37.780108, -122.237806)"
THEFT/LARCENY,01/20/2018 11:00:00 AM,18-901798,THEFT,16X,LAKE PARK AV,Oakland,CA,"LAKE PARK AV
Oakland, CA
"
THEFT/LARCENY,11/24/2017 10:30:00 AM,17-918833,BURGLARY-AUTO,31Y,500 HEGENBERGER ROAD,Oakland,CA,"500 HEGENBERGER ROAD
Oakland, CA
(37.742152, -122.196132)"
DRUGS/ALCOHOL VIOLATIONS,12/21/2017 07:58:00 AM,17-066227,POSSESS NARCOTIC CONTROLLED SUBSTANCE,15X,600 MACARTHUR BLVD,Oakland,CA,"600 MACARTHUR BLVD
Oakland, CA
(37.817176, -122.25279)"
MOTOR VEHICLE THEFT,12/06/2017 10:00:00 PM,17-063648,VEHICLE THEFT - AUTO,31X,7900 EDGEWATER DR,Oakland,CA,"7900 EDGEWATER DR
Oakland, CA
(37.740807, -122.20203)"
THEFT/LARCENY,11/29/2017 07:00:00 PM,17-918844,BURGLARY-AUTO,,SAN PABLO AVE. / 17TH ST.,Oakland,CA,"SAN PABLO AVE. / 17TH ST.
Oakland, CA
"
THEFT/LARCENY,12/15/2017 05:30:00 AM,18-900220,GRAND THEFT,,5100BLK E 10TH AVE,Oakland,CA,"5100BLK E 10TH AVE
Oakland, CA
"
THEFT/LARCENY,11/29/2017 01:00:00 PM,17-918842,THEFT,35Y,4400 SEQUOYAH ROAD,Oakland,CA,"4400 SEQUOYAH ROAD
Oakland, CA
(37.764932, -122.137418)"
ASSAULT,12/21/2017 12:30:00 AM,17-066199,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,14X,200 PARK VIEW TER,Oakland,CA,"200 PARK VIEW TER
Oakland, CA
(37.811899, -122.25931)"
THEFT/LARCENY,01/12/2018 06:30:00 AM,18-901435,BURGLARY-AUTO,14Y,3200 LAKESHORE AV,Oakland,CA,"3200 LAKESHORE AV
Oakland, CA
(37.810277, -122.245433)"
THEFT/LARCENY,01/19/2018 01:45:00 PM,18-901737,BURGLARY-AUTO,77X,00,Oakland,CA,"00
Oakland, CA
"
MOTOR VEHICLE THEFT,02/04/2018 05:08:00 AM,18-006231,VEHICLE THEFT - AUTO,19X,800 E 10TH ST,Oakland,CA,"800 E 10TH ST
Oakland, CA
(37.791544, -122.254162)"
ASSAULT,11/12/2017 03:51:00 AM,17-059256,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,19X,1400 4TH AV,Oakland,CA,"1400 4TH AV
Oakland, CA
(37.796563, -122.254553)"
ASSAULT,02/03/2018 06:41:00 PM,18-006175,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,09X,5000 PIEDMONT AV,Oakland,CA,"5000 PIEDMONT AV
Oakland, CA
(37.832355, -122.241649)"
MOTOR VEHICLE THEFT,01/21/2018 11:00:00 AM,18-004345,VEHICLE THEFT - AUTO,03X,900 FRANKLIN ST,Oakland,CA,"900 FRANKLIN ST
Oakland, CA
(37.800762, -122.271891)"
DRUGS/ALCOHOL VIOLATIONS,12/05/2017 02:00:00 PM,17-063403,TRANSPORT/SELL NARCOTIC/CONTROLLED SUBSTANCE,30X,8100 OLIVE ST,Oakland,CA,"8100 OLIVE ST
Oakland, CA
(37.759933, -122.172723)"
